ID;DescriptionLevel;EntityType;CompleteUnitId;UnitId;RepositoryCode;CountryCode;UnitTitleType;UnitTitle;AlternativeTitle;NormalizedFormsName;OtherFormsName;UnitDateInitial;UnitDateFinal;UnitDateInitialCertainty;UnitDateFinalCertainty;AllowUnitDatesInference;AccumulationDates;UnitDateBulk;UnitDateNotes;Dimensions;AllowExtentsInference;Repository;Producer;Author;MaterialAuthor;Contributor;Recipient;BiogHist;GeogName;LegalStatus;Functions;Authorities;InternalStructure;GeneralContext;CustodHist;AcqInfo;Classifier;ScopeContent;Terms;DocumentalTradition;DocumentalTypology;Marks;Monograms;Stamps;Inscriptions;Signatures;Appraisal;AppraisalElimination;AppraisalEliminationDate;Accruals;Arrangement;AccessRestrict;UseRestrict;PhysLoc;OriginalNumbering;PreviousLoc;LangMaterial;PhysTech;OtherFindAid;ContainerTypeTerm;OriginalsLoc;AltFormAvail;RelatedMaterial;Note;AllowTextualContentInference;TextualContent;RetentionDisposalDocumentState;ApplySelectionTable;RetentionDisposalPolicy;RetentionDisposalReference;RetentionDisposalClassification;RetentionDisposalPeriod;RetentionDisposalApplyDate;RetentionDisposalFinalDestination;RetentionDisposalObservations;DescRules;Revised;Published;Available;Highlighted;Creator;Created;Username;ProcessInfoDate;OtherDescriptiveData;ProcessInfo
"1193713";"SR";;"PT/UM-ADB/DIO/MAB/006";"006";"UM-ADB";"PT";"Atribuído";"Inquirições de genere";;;;"1655";"1911";"False";"False";"True";;;"";"34758 doc.; papel";"True";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Processos necessários para a ordenação dos párocos. Consistem na inquirição de testemunhas para comprovar a filiação, reputação, bom nome ou ""limpeza de sangue"" do requerente.
Incluem os seguintes documentos: requerimento inicial, carta de comissão, inquirições de genere a testemunhas e declarações dos párocos.
Estão incluídos nesta série processos de Justificação de Fraternidade que são requeridos quando há, na família, alguém ordenado e com inquirição de genere elaborada e concluída.";;;;;;;;;;;;;;;;;;;;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"True";"False";"sandra";"25/03/2013 14:16:23";"sandra";"09/12/2022 16:03:43";;"Registo modificado pelo utilizador ""sandra"", na data 2022-12-09 16:03:43"
"1348406";"DC";;"PT/UM-ADB/DIO/MAB/006/00090";"00090";"UM-ADB";"PT";;"Inquirição de genere de Antonio Bras";;;;"1684-04-16";"1684-04-16";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Andre Bras e Maria Francisca. Natural e/ou residente em RANDE,Santiago, actual concelho de FELGUEIRAS e distrito (ou país) PORTO.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:04";"asousa";"14/04/2014 18:01:05";;
"1348407";"DC";;"PT/UM-ADB/DIO/MAB/006/00091";"00091";"UM-ADB";"PT";;"Inquirição de genere de Antonio Teixeira";;;;"1678-03-12";"1678-03-12";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Teixeira e Comba Dinis. Natural e/ou residente em SANTIAGO RIBEIRA ALHARIZ, actual concelho de VALPACOS e distrito (ou país) VILA REAL. Outra informação: Embargos Purga.  Em Anexo: Inquiricao feita em 1681.03.14.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:04";"asousa";"14/04/2014 18:01:05";;
"1348408";"DC";;"PT/UM-ADB/DIO/MAB/006/00092";"00092";"UM-ADB";"PT";;"Inquirição de genere de Joao Pereira";;;;"1733-11-16";"1733-11-16";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Domingos Ramos e Perpetua Pereira. Natural e/ou residente em ALVACOES CORGO,Santo Antonio, actual concelho de SANTA MARTA PENAGUIAO e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348409";"DC";;"PT/UM-ADB/DIO/MAB/006/00093";"00093";"UM-ADB";"PT";;"Inquirição de genere de Joao Antonio Vieira Araujo";;;;"1780-05-24";"1780-05-24";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Henrique Vieira Araujo e Maria Pereira Azevedo. Natural e/ou residente em CANTELAES,Santo Estevao, actual concelho de VIEIRA MINHO e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;"Série Inquirições de genere: Joao Vieira Araujo,Tio Paterno. Proc.908.  Antonio Pereira Azevedo,Tio Materno. Proc.4596.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348410";"DC";;"PT/UM-ADB/DIO/MAB/006/00094";"00094";"UM-ADB";"PT";;"Inquirição de genere de Andre Antunes Costa";;;;"1684-03-23";"1684-03-23";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Cristovao Antunes e Catarina Rodrigues. Natural e/ou residente em MOIMENTA,Santo Andre, actual concelho de TERRAS BOURO e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348411";"DC";;"PT/UM-ADB/DIO/MAB/006/00095";"00095";"UM-ADB";"PT";;"Inquirição de genere de Antonio Ribeiro";;;;"1681-03-24";"1681-03-24";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Miguel Ribeiro e Ana Duarte. Natural e/ou residente em LOUSADA-SILVARES,Sao Miguel, actual concelho de LOUSADA e distrito (ou país) PORTO.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;"Doc.danificado.";;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348412";"DC";;"PT/UM-ADB/DIO/MAB/006/00096";"00096";"UM-ADB";"PT";;"Inquirição de genere de Antonio Faria";;;;"1684-06-25";"1684-06-25";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Francisco Pires e Francisca Joao. Natural e/ou residente em AMORIM,Sao Tiago, actual concelho de POVOA VARZIM e distrito (ou país) PORTO.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348413";"DC";;"PT/UM-ADB/DIO/MAB/006/00097";"00097";"UM-ADB";"PT";;"Inquirição de genere de Agostinho Pereira";;;;"1684-03-11";"1684-03-11";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Domingos Pereira e Angela Masoulas. Natural e/ou residente em PONTE,Sao Joao Batista, actual concelho de GUIMARAES e distrito (ou país) BRAGA.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348414";"DC";;"PT/UM-ADB/DIO/MAB/006/00098";"00098";"UM-ADB";"PT";;"Inquirição de genere de Antonio Correia Coelho";;;;"1684-03-10";"1684-03-10";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Antonio Coelho Babo e Maria Correia Ramalho. Natural e/ou residente em AMARANTE-SAO GONCALO, actual concelho de AMARANTE e distrito (ou país) PORTO.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348415";"DC";;"PT/UM-ADB/DIO/MAB/006/00099";"00099";"UM-ADB";"PT";;"Inquirição de genere de Agostinho Rodrigues";;;;"1684-05-13";"1684-05-13";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Diogo Goncalves e Isabel Rodrigues. Natural e/ou residente em AFONSIM,Santa Maria, actual concelho de VILA POUCA AGUIAR e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348416";"DC";;"PT/UM-ADB/DIO/MAB/006/00100";"00100";"UM-ADB";"PT";;"Inquirição de genere de Ambrosio Goncalves";;;;"1684-01-02";"1684-01-02";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Ambrosio Goncalves e Maria Goncalves. Natural e/ou residente em SANTA MARINHA, actual concelho de RIBEIRA PENA e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:05";"asousa";"14/04/2014 18:01:05";;
"1348417";"DC";;"PT/UM-ADB/DIO/MAB/006/00101";"00101";"UM-ADB";"PT";;"Inquirição de genere de Antonio Dias";;;;"1684-02-13";"1684-02-13";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Geraldo Dias e Maria Domingues. Natural e/ou residente em BRAGADO,Sao Pedro, actual concelho de VILA POUCA AGUIAR e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;"Série Inquirições de genere: Jose Goncalves,Sobrinho Materno. Proc.4076.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:06";"asousa";"14/04/2014 18:01:05";;
"1348418";"DC";;"PT/UM-ADB/DIO/MAB/006/00102";"00102";"UM-ADB";"PT";;"Inquirição de genere de Antonio Francisco";;;;"1684-02-13";"1684-02-13";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Pedro Francisco e Comba Martins. Natural e/ou residente em BORNES AGUIAR,Sao Martinho, actual concelho de VILA POUCA AGUIAR e distrito (ou país) VILA REAL.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:06";"asousa";"14/04/2014 18:01:05";;
"1348419";"DC";;"PT/UM-ADB/DIO/MAB/006/00103";"00103";"UM-ADB";"PT";;"Inquirição de genere de Antonio Garcia e Luis Garcia e Manuel Garcia";;;;"1684-07-19";"1684-07-19";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Luis Goncalves e Maria Garcia. Natural e/ou residente em ABOADELA,Santa Maria, actual concelho de AMARANTE e distrito (ou país) Porto.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;"Série Inquirições de genere: Goncalo Garcia, irmão. Proc.8006.";;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:06";"asousa";"14/04/2014 18:01:05";;
"1348420";"DC";;"PT/UM-ADB/DIO/MAB/006/00104";"00104";"UM-ADB";"PT";;"Inquirição de genere de Ambrosio Sanches";;;;"1684-03-16";"1684-03-16";"False";"False";"False";;;"";;"False";"Arquivo Distrital de Braga";;;;;;;;;;;;;;;;"Filiação: Sebastiao Rodrigues Sanches e Madalena Rocha. Natural e/ou residente em MONCAO-SANTA MARIA ANJOS, actual concelho de MONCAO e distrito (ou país) VIANA CASTELO.";;;;;;;;;;;;;;;;"A - 4";;"A - 4";;;;;;;;;"True";;;"False";;;;;;;;;"True";"True";"False";"False";"asousa";"14/04/2014 14:48:06";"asousa";"14/04/2014 18:01:05";;
